Date, Odometer [km], Battery Energy Out (Operating) [kWh], Battery Energy In (Charging)[kWh], Hours Charging [h], Hours Operating [h], Hours Running [h],,,,,,,,,,,,,,,,,
2015-05-22,0.148454861,0.089419666,0,0,0.166666667,0.020277778,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Time Stamp, SOC [%], Battery Current [A], Battery Voltage [V], Battery Power Out (Operating) [kW], Battery Power In (Charging)[kW], Motor Current [AC A rms], Motor Voltage [AC V rms], Motor Controller Capacitor Voltage [V], Vehicle Speed [km/h], Motor Velocity [RPM], Current Highest Priority Fault, Traction State, Maximum Battery Discharge Current [A], Maximum Battery Charge Current [A], Motor Temperature [Celcius], Motor Controller Heatsink Temperature [Celcius], Battery Pack Highest Temperature [Celcius], Batt High Temp ID, Batter Pack Lowest Temperature [Celcius], Batt Low Temp ID, Charging, Operating, Running
13:29:02,48,1.2,313.67,0.376404,0,0,0,311.3125,10.125,509,0,2,250,-100,33,36,0,0,0,0,0,1,1
13:29:03,48,1.4,313.71,0.439194,0,0,0,311.625,9.9375,497,0,2,250,-100,35,36,0,0,0,0,0,1,1
13:29:04,48,2.3,313.72,0.721556,0,4,0,311.875,9.75,491,0,2,250,-100,36,36,0,0,0,0,0,1,1
13:29:05,48,3.5,313.65,1.097775,0,6,0,310.8125,9.625,482,0,2,250,-100,37,36,0,0,0,0,0,1,1
13:29:06,48,3.7,313.66,1.160542,0,5,0,311.0625,9.375,470,0,2,250,-100,35,36,0,0,0,0,0,1,1
13:29:07,48,3.2,313.68,1.003776,0,6,0,311.625,9.1875,461,0,2,250,-100,33,36,0,0,0,0,0,1,1
13:29:08,48,7.2,313.49,2.257128,0,19,0,311.3125,8.8125,442,0,2,250,-100,34,36,0,0,0,0,0,1,1
13:29:09,48,10.6,313.33,3.321298,0,28,0,310.9375,8.8125,442,0,2,250,-100,34,36,0,0,0,0,0,1,1
13:29:10,48,7,313.39,2.19373,0,18,0,311.5,8.6875,436,0,2,250,-100,35,36,0,0,0,0,0,1,1
13:29:11,48,5.5,313.52,1.72436,0,12,0,311.5,8,401,0,2,250,-100,36,36,0,0,0,0,0,1,1
13:29:12,48,7.8,313.48,2.445144,0,26,0,310.6875,7.1875,362,0,2,250,-100,35,36,0,0,0,0,0,1,1
13:29:13,48,9.1,313.37,2.851667,0,32,0,311.3125,6.75,337,0,2,250,-100,36,36,0,0,0,0,0,1,1
13:29:14,48,6.7,313.43,2.099981,0,25,0,310.8125,6.375,318,0,2,250,-100,35,36,0,0,0,0,0,1,1
13:29:15,48,12.3,313.21,3.852483,0,52,0,310.6875,5.6875,285,0,2,250,-100,33,36,0,0,0,0,0,1,1
13:29:16,48,15.8,312.91,4.943978,0,62,0,310.8125,5.8125,292,0,2,250,-100,32,36,0,0,0,0,0,1,1
13:29:17,48,9.7,313.19,3.037943,0,39,0,311.3125,5.5625,278,0,2,250,-100,36,37,0,0,0,0,0,1,1
13:29:18,48,10.6,313.17,3.319602,0,45,0,310.8125,5.375,270,0,2,250,-100,34,37,0,0,0,0,0,1,1
13:29:19,48,7,313.28,2.19296,0,24,0,311.0625,5.75,288,0,2,250,-100,33,37,0,0,0,0,0,1,1
13:29:20,48,2.2,313.57,0.689854,0,5,0,310.9375,5.5,277,0,2,250,-100,32,37,0,0,0,0,0,1,1
13:29:21,48,2.2,313.62,0.689964,0,5,0,311.1875,5.375,269,0,2,250,-100,34,36,0,0,0,0,0,1,1
13:29:22,48,2.8,313.61,0.878108,0,8,0,311.625,5.25,263,0,2,250,-100,33,36,0,0,0,0,0,1,1
13:29:23,48,5.1,313.49,1.598799,0,20,0,310.5625,5.0625,254,0,2,250,-100,34,36,0,0,0,0,0,1,1
13:29:24,48,5,313.52,1.5676,0,19,0,311.1875,5.3125,267,0,2,250,-100,33,36,0,0,0,0,0,1,1
13:29:25,48,5.4,313.52,1.693008,0,19,0,311.1875,5.3125,268,0,2,250,-100,34,36,0,0,0,0,0,1,1
13:29:26,48,3.7,313.59,1.160283,0,12,0,311.5,5.4375,274,0,2,250,-100,32,36,0,0,0,0,0,1,1
13:29:27,48,3.8,313.59,1.191642,0,13,0,311.875,5.375,270,0,2,250,-100,32,36,0,0,0,0,0,1,1
13:29:28,48,3.2,313.62,1.003584,0,11,0,311.1875,5.3125,268,0,2,250,-100,35,36,0,0,0,0,0,1,1
13:29:29,48,3.7,313.62,1.160394,0,12,0,310.9375,5.25,263,0,2,250,-100,35,36,0,0,0,0,0,1,1
13:29:30,48,3.8,313.64,1.191832,0,13,0,311.3125,5.125,257,0,2,250,-100,33,36,0,0,0,0,0,1,1
13:29:31,48,3.7,313.62,1.160394,0,13,0,310.9375,5.125,257,0,2,250,-100,32,36,0,0,0,0,0,1,1
13:29:32,48,4.1,313.62,1.285842,0,16,0,311.0625,5.125,256,0,2,250,-100,35,36,0,0,0,0,0,1,1
13:29:33,48,4.3,313.63,1.348609,0,13,0,310.9375,5.0625,255,0,2,250,-100,35,36,0,0,0,0,0,1,1
13:29:34,48,3.8,313.63,1.191794,0,15,0,311.625,5.125,258,0,2,250,-100,37,36,0,0,0,0,0,1,1
13:29:35,48,3.7,313.64,1.160468,0,13,0,311.1875,5.125,256,0,2,250,-100,35,36,0,0,0,0,0,1,1
13:29:36,48,4.5,313.63,1.411335,0,15,0,311.5,5.125,258,0,2,250,-100,34,36,0,0,0,0,0,1,1
13:29:37,48,4.2,313.64,1.317288,0,14,0,311.1875,5.125,259,0,2,250,-100,32,36,0,0,0,0,0,1,1
13:29:38,48,4.2,313.66,1.317372,0,13,0,310.8125,5.125,259,0,2,250,-100,33,36,0,0,0,0,0,1,1
13:29:39,48,3.7,313.65,1.160505,0,12,0,311.0625,5.1875,260,0,2,250,-100,33,36,0,0,0,0,0,1,1
13:29:40,48,2.2,313.76,0.690272,0,5,0,311.3125,5.0625,253,0,2,250,-100,34,36,0,0,0,0,0,1,1
13:29:41,48,0.6,313.85,0.18831,0,0,0,311.4375,4.75,238,0,2,250,-100,35,36,0,0,0,0,0,1,1
13:29:42,48,0.2,313.94,0.062788,0,12,0,311.75,4.125,207,0,6,250,-100,35,36,0,0,0,0,0,1,1
13:29:43,48,0.4,313.94,0.125576,0,9,0,311.625,3,152,0,6,250,-100,34,36,0,0,0,0,0,1,1
13:29:44,48,2,313.88,0.62776,0,0,0,311.1875,1.4375,74,0,6,250,-100,36,36,0,0,0,0,0,1,1
13:29:45,48,1.1,313.92,0.345312,0,0,0,311.75,0.625,34,0,2,250,-100,36,36,0,0,0,0,0,1,1
13:29:46,48,1,313.93,0.31393,0,0,0,310.9375,0.0625,4,0,0,250,-100,34,36,0,0,0,0,0,1,1
13:29:47,48,1,313.96,0.31396,0,0,0,311.1875,0,0,0,0,250,-100,33,36,0,0,0,0,0,1,0
13:29:48,48,1,313.97,0.31397,0,0,0,311.4375,-0.125,-5,17737,0,250,-100,33,36,0,0,0,0,0,1,1
13:29:49,48,1,313.98,0.31398,0,0,0,311.3125,0,0,17737,0,250,-100,33,36,0,0,0,0,0,1,0
13:29:50,48,1,314,0.314,0,0,0,311.3125,0,0,17737,0,250,-100,33,36,0,0,0,0,0,1,0
13:29:51,48,1,314.01,0.31401,0,0,0,311.4375,0,0,17737,0,250,-100,32,36,0,0,0,0,0,1,0
13:29:52,48,1,314.01,0.31401,0,0,0,311.625,0,0,17737,0,250,-100,32,35,0,0,0,0,0,1,0
